measurementId,elapsedSeconds,outsideTemperatureC,cabinSensorMedianC
635,8771.714066103,29.526959188,36.883890771
636,8785.549577248,29.526959188,36.883890771
637,8799.385088394,29.526959188,36.904733689
638,8813.220599539,29.466959188,36.844733689
639,8827.056110684,29.336959188,36.823890771
640,8840.891621829,29.336959188,36.823890771
641,8854.727132975,29.276959188,36.823890771
642,8868.562644120,29.336959188,36.823890771
643,8882.398155265,29.336959188,36.784733689
644,8896.233666410,29.276959188,36.823890771
645,8910.069177556,29.276959188,36.763890771
646,8923.904688701,29.156959188,36.763890771
647,8937.740199846,29.216959188,36.693890771
648,8951.575710992,29.276959188,36.693890771
649,8965.411222137,29.216959188,36.633890771
650,8979.246733282,29.216959188,36.633890771
651,8993.082244427,29.216959188,36.633890771
652,9006.917755573,29.216959188,36.633890771
653,9020.753266718,29.336959188,36.633890771
654,9034.588777863,29.336959188,36.573890771
655,9048.424289008,29.336959188,36.573890771
656,9062.259800154,29.406959188,36.573890771
